is_hit,is_visualization,is_dash,start_distance,start_delay,pre_delay,mid_delay,post_delay,attack_size,attack_pattern,attack_count
1,0,0,1148,0.371,0.141,0.159,0.108,224,5,8
1,1,0,989,0.784,0.223,0.164,0.285,235,3,9
1,1,1,1307,0.819,0.316,0.199,0.613,197,2,10
1,1,1,966,0.516,0.242,0.607,0.362,188,3,9
0,1,0,1247,0.335,0.538,0.15,0.65,229,2,10
1,0,1,775,0.605,0.316,0.106,0.482,207,4,11
0,1,0,602,0.317,0.58,0.811,0.345,175,4,1
0,0,0,663,0.485,0.149,0.441,0.2,195,1,2
0,1,0,1231,0.401,0.381,0.216,0.157,213,5,3
0,1,1,645,0.55,0.276,0.864,0.319,236,3,4
0,0,0,752,0.354,0.382,0.757,0.293,202,2,5
0,0,0,983,0.471,0.495,0.335,0.429,201,4,6
0,1,0,871,0.267,0.226,0.165,0.148,182,1,7
1,0,0,1097,0.367,0.133,0.132,0.378,219,5,8
1,0,1,1432,0.323,0.371,0.648,0.659,232,3,9
0,1,0,829,0.672,0.424,0.786,0.112,228,2,10
1,1,1,1160,0.368,0.449,0.675,0.153,187,4,11
1,0,1,863,0.44,0.173,0.13,0.344,198,1,12
1,1,1,1020,0.208,0.528,0.676,0.512,236,2,5
1,1,0,1388,0.931,0.69,0.833,0.297,208,4,6
1,0,0,1195,0.989,0.222,0.333,0.114,216,1,7
0,0,0,959,0.457,0.196,0.426,0.245,211,5,8
0,1,0,1424,0.53,0.211,0.526,0.475,208,3,9
1,0,0,830,0.609,0.274,0.427,0.329,201,2,10
1,1,0,1415,0.814,0.274,0.333,0.324,191,4,11
0,0,0,1158,0.597,0.1,0.519,0.523,201,4,1
1,1,0,1200,0.305,0.153,0.466,0.148,189,1,2
0,0,0,699,0.539,0.138,0.424,0.202,221,5,3
0,0,1,1250,0.404,0.201,0.197,0.136,266,3,4
1,1,0,1429,0.349,0.528,0.438,0.635,259,2,5
0,1,1,971,0.561,0.24,0.597,0.309,206,4,6
1,1,0,1405,0.909,0.101,0.313,0.33,196,1,7
1,1,0,662,0.392,0.396,0.297,0.371,214,5,8
1,1,1,1022,0.872,0.128,0.382,0.31,184,5,3
1,0,0,1371,0.318,0.234,0.512,0.528,212,4,4
1,1,1,535,0.735,0.428,0.398,0.192,235,2,5
0,1,1,1203,0.714,0.573,0.356,0.157,234,3,6
0,1,0,1391,0.295,0.183,0.289,0.385,197,1,7
0,0,0,1331,0.759,0.299,0.477,0.23,215,5,8
0,0,0,1145,0.703,0.667,0.525,0.285,220,4,9
1,0,1,1090,0.542,0.61,0.805,0.428,198,2,10
0,0,0,1230,0.318,0.217,0.814,0.441,184,3,11
1,0,0,737,0.745,0.338,0.337,0.319,213,1,12
1,1,1,711,0.222,0.352,0.123,0.136,216,5,13
0,0,0,688,0.576,0.222,0.844,0.21,205,4,1
0,0,1,782,0.221,0.212,0.227,0.257,185,1,2
0,0,0,635,0.35,0.213,0.458,0.205,218,5,3
1,1,1,619,0.917,0.279,0.832,0.423,212,3,4
0,0,0,1489,0.233,0.327,0.163,0.673,187,4,9
1,0,1,714,0.887,0.164,0.876,0.527,176,2,10
1,0,0,1322,0.891,0.243,0.405,0.651,192,3,11
0,0,0,579,0.649,0.467,0.865,0.532,253,3,1
1,1,1,794,0.61,0.334,0.433,0.139,189,1,2
1,1,0,1080,0.844,0.386,0.19,0.129,195,5,3
0,0,0,794,0.356,0.218,0.821,0.649,222,4,4
0,1,1,1115,0.681,0.605,0.552,0.528,214,2,5
1,1,0,1244,0.499,0.596,0.73,0.51,230,3,6
1,0,0,984,0.6,0.124,0.408,0.279,222,1,7
1,0,0,1411,0.567,0.155,0.297,0.227,213,5,8
0,0,0,1411,0.381,0.629,0.78,0.694,212,4,9
1,0,1,583,0.374,0.108,0.808,0.45,215,2,10
0,1,0,1093,0.351,0.169,0.581,0.418,184,3,1
0,0,1,1397,0.665,0.221,0.405,0.303,182,1,2
1,1,0,1238,0.425,0.349,0.553,0.26,243,3,1
1,0,1,1126,0.387,0.191,0.167,0.272,198,1,2
1,0,1,779,0.476,0.144,0.361,0.206,178,5,3
1,0,0,809,0.958,0.437,0.525,0.341,211,4,4
0,1,1,568,0.439,0.493,0.577,0.688,254,2,5
1,1,0,638,0.67,0.642,0.458,0.132,263,3,6
1,1,0,786,0.634,0.232,0.111,0.144,210,1,7
0,1,0,547,0.522,0.341,0.668,0.205,207,3,1
0,0,0,867,0.861,0.378,0.121,0.219,181,1,2
0,1,0,681,0.611,0.347,0.397,0.186,222,5,3
1,1,1,698,0.614,0.634,0.862,0.382,207,4,4
1,0,0,540,0.598,0.56,0.643,0.263,236,2,5
0,1,1,860,0.761,0.448,0.398,0.504,253,3,6
1,1,0,681,0.499,0.16,0.275,0.257,178,1,7
1,0,0,1402,0.367,0.242,0.206,0.13,196,5,8
0,1,1,533,0.897,0.251,0.342,0.174,223,4,6
1,1,0,1404,0.263,0.12,0.467,0.144,221,5,7
0,0,0,557,0.9,0.101,0.134,0.696,219,2,8
0,1,0,935,0.402,0.542,0.118,0.624,252,3,9
1,0,1,957,0.908,0.307,0.394,0.195,209,1,10
0,1,0,705,0.853,0.505,0.152,0.629,176,4,11
0,0,0,869,0.293,0.218,0.375,0.241,203,5,12
1,0,1,1461,0.326,0.168,0.821,0.483,225,2,13
1,0,0,1107,0.774,0.354,0.247,0.377,195,2,1
0,1,1,995,0.42,0.276,0.3,0.53,176,3,2
1,1,0,1210,0.365,0.334,0.152,0.258,193,5,3
1,0,1,909,0.337,0.481,0.818,0.302,222,4,4
1,1,1,1065,0.525,0.141,0.298,0.399,200,1,5
1,0,0,1366,0.938,0.181,0.7,0.164,267,2,6
1,0,1,1147,0.657,0.226,0.739,0.491,188,3,7
1,1,0,1333,0.296,0.1,0.435,0.578,266,2,3
0,0,1,964,0.451,0.377,0.758,0.467,229,3,4
0,0,1,556,0.713,0.358,0.264,0.194,218,1,5
0,0,1,902,0.268,0.108,0.403,0.358,190,4,6
0,0,1,807,0.202,0.103,0.365,0.146,204,5,7
0,0,1,972,0.743,0.386,0.674,0.604,196,2,8
1,0,1,1439,0.941,0.402,0.105,0.358,213,3,9
1,1,1,1193,0.771,0.292,0.255,0.388,198,1,10
0,1,0,558,0.315,0.188,0.244,0.428,214,4,11
1,1,1,588,0.667,0.263,0.22,0.278,180,5,12
1,0,0,595,0.384,0.386,0.127,0.184,206,4,1
1,0,1,1412,0.857,0.398,0.466,0.309,190,5,2
0,1,1,1031,0.213,0.515,0.519,0.624,247,2,3
0,0,1,866,0.837,0.152,0.621,0.128,241,3,4
1,0,0,1215,0.333,0.202,0.187,0.101,182,1,5
0,1,0,1113,0.564,0.395,0.317,0.395,189,1,9
0,1,0,1107,0.835,0.488,0.114,0.465,179,2,10
1,1,0,1073,0.433,0.182,0.334,0.155,222,5,11
0,0,0,1193,0.977,0.292,0.207,0.277,219,5,1
0,1,0,578,0.851,0.503,0.615,0.215,272,3,2
1,1,1,994,0.814,0.277,0.41,0.69,176,4,3
1,0,1,725,0.606,0.163,0.239,0.255,177,1,4
1,1,0,1327,0.487,0.208,0.185,0.254,258,2,5
1,0,1,1287,0.289,0.245,0.23,0.224,193,5,6
0,1,1,1358,0.684,0.144,0.703,0.685,272,3,7
1,0,1,1018,0.781,0.283,0.591,0.692,190,4,8
0,0,0,936,0.781,0.131,0.323,0.248,183,1,9
1,1,1,629,0.236,0.506,0.629,0.417,241,2,10
1,0,0,1409,0.664,0.52,0.792,0.212,223,4,1
1,1,1,501,0.817,0.277,0.298,0.118,180,5,2
1,1,1,1168,0.248,0.621,0.466,0.37,223,4,10
1,0,1,884,0.907,0.593,0.598,0.323,208,3,11
1,1,1,535,0.364,0.393,0.388,0.393,260,2,12
1,1,0,835,0.374,0.358,0.18,0.178,211,1,13
1,0,1,755,0.451,0.383,0.438,0.39,207,5,14
0,0,1,1429,0.204,0.384,0.64,0.29,194,4,15
1,0,1,1116,0.706,0.626,0.28,0.177,241,3,16
1,1,0,982,0.87,0.304,0.113,0.18,203,5,1
1,0,1,1074,0.799,0.172,0.218,0.478,237,3,2
0,0,0,1344,0.564,0.655,0.812,0.63,212,4,3
1,0,1,749,0.9,0.364,0.153,0.291,209,1,4
1,0,1,1167,0.98,0.242,0.595,0.406,272,2,5
0,1,0,787,0.711,0.245,0.279,0.155,216,5,6
1,0,1,1003,0.746,0.48,0.418,0.538,203,3,7
0,1,0,948,0.976,0.618,0.778,0.496,195,4,8
1,0,1,992,0.507,0.141,0.133,0.309,199,3,6
0,0,0,1355,0.746,0.101,0.479,0.466,242,2,7
0,0,0,784,0.209,0.331,0.118,0.327,187,1,8
1,0,1,819,0.576,0.273,0.277,0.297,201,5,9
0,0,0,1043,0.438,0.593,0.223,0.229,223,4,10
1,0,1,641,0.507,0.51,0.19,0.209,244,3,11
0,1,0,1435,0.893,0.479,0.739,0.236,188,3,1
0,1,0,932,0.494,0.419,0.674,0.239,254,2,2
0,1,1,1250,0.259,0.35,0.129,0.256,204,1,3
0,1,0,916,0.581,0.199,0.429,0.175,208,5,4
0,1,1,1354,0.545,0.371,0.273,0.229,209,4,5
0,1,1,1270,0.745,0.631,0.135,0.32,258,3,6
0,0,1,797,0.685,0.577,0.284,0.326,247,2,7
0,1,0,1235,0.531,0.363,0.491,0.353,177,1,8
0,1,0,1340,0.987,0.23,0.354,0.371,213,5,9
1,0,0,1412,0.562,0.115,0.813,0.504,256,2,9
0,0,0,611,0.882,0.209,0.178,0.42,199,3,1
0,0,0,923,0.719,0.548,0.145,0.529,185,4,2
0,1,0,620,0.443,0.252,0.315,0.343,199,5,3
1,0,0,550,0.496,0.182,0.193,0.428,261,2,4
1,1,1,631,0.927,0.166,0.213,0.367,207,1,5
1,0,1,727,0.799,0.583,0.65,0.569,190,3,6
1,0,1,1089,0.656,0.243,0.709,0.655,203,4,7
1,0,1,994,0.428,0.227,0.407,0.376,195,5,8
1,1,0,767,0.604,0.68,0.753,0.655,228,2,9
1,1,0,535,0.384,0.114,0.482,0.293,241,3,1
0,1,1,715,0.909,0.297,0.34,0.437,178,2,2
0,0,0,833,0.706,0.306,0.214,0.179,193,1,3
1,0,1,1110,0.264,0.253,0.111,0.196,210,5,4
1,0,0,983,0.678,0.541,0.59,0.223,192,4,5
1,1,1,1178,0.311,0.226,0.456,0.243,216,4,4
0,0,0,997,0.949,0.265,0.355,0.341,214,1,5
1,0,0,960,0.754,0.282,0.731,0.146,271,2,6
0,0,0,1425,0.791,0.48,0.32,0.521,208,3,7
1,0,1,1226,0.467,0.147,0.359,0.109,190,5,8
1,1,0,994,0.493,0.634,0.466,0.456,221,4,9
0,1,0,688,0.587,0.401,0.499,0.678,255,2,1
1,1,0,1261,0.456,0.455,0.673,0.698,180,3,1
0,0,1,1371,0.941,0.594,0.247,0.695,187,4,2
1,0,0,667,0.237,0.247,0.381,0.376,185,5,3
1,1,0,578,0.578,0.318,0.152,0.214,255,2,4
1,0,0,1376,0.41,0.301,0.41,0.311,216,1,5
0,1,1,1264,0.625,0.239,0.414,0.241,225,3,6
0,1,0,765,0.454,0.65,0.872,0.641,187,4,7
1,1,0,753,0.645,0.15,0.457,0.166,209,5,8
1,0,0,766,0.371,0.53,0.575,0.314,211,3,3
0,0,0,987,0.841,0.323,0.482,0.395,236,2,4
1,1,0,1240,0.752,0.136,0.176,0.172,182,5,5
0,0,0,935,0.226,0.567,0.21,0.51,181,4,6
0,1,1,773,0.865,0.132,0.273,0.131,178,1,7
1,1,0,1371,0.301,0.611,0.537,0.106,228,3,8
0,1,0,807,0.237,0.558,0.267,0.286,228,2,9
1,1,0,957,0.303,0.249,0.446,0.149,179,5,10
0,0,1,518,0.869,0.298,0.133,0.42,195,4,11
0,0,0,1144,0.771,0.389,0.268,0.275,209,1,12
0,1,0,712,0.999,0.605,0.868,0.653,256,3,13
1,0,0,898,0.969,0.666,0.525,0.258,199,2,14
1,1,0,886,0.347,0.374,0.712,0.666,206,2,1
1,1,0,522,0.449,0.213,0.307,0.275,261,3,2
0,1,0,547,0.376,0.307,0.191,0.369,221,5,3
1,1,0,1443,0.547,0.331,0.87,0.603,215,4,4
1,1,0,1081,0.975,0.397,0.483,0.364,200,1,5
1,1,0,1466,0.434,0.553,0.25,0.613,266,3,6
1,0,0,982,0.831,0.206,0.788,0.686,192,2,7
1,1,0,1440,0.699,0.304,0.383,0.237,186,5,8
0,1,0,1437,0.662,0.306,0.432,0.507,177,4,1
0,1,0,1028,0.865,0.125,0.111,0.667,239,3,2
0,0,0,1326,0.951,0.354,0.495,0.14,175,5,3
1,1,0,883,0.851,0.575,0.873,0.24,220,2,4
0,0,0,848,0.203,0.256,0.499,0.212,185,1,5
0,1,0,1416,0.413,0.124,0.339,0.522,184,4,6
1,0,0,1218,0.313,0.127,0.262,0.368,240,3,7
1,1,0,752,0.72,0.102,0.272,0.396,202,5,8
0,0,0,550,0.982,0.19,0.302,0.446,179,4,1
1,0,0,786,0.519,0.246,0.182,0.15,209,1,2
0,0,0,777,0.508,0.667,0.393,0.412,213,4,11
1,0,0,602,0.347,0.353,0.181,0.178,213,4,1
0,0,0,813,0.574,0.527,0.371,0.167,210,2,2
0,0,0,1049,0.513,0.195,0.233,0.332,177,5,3
1,1,0,844,0.265,0.245,0.266,0.237,178,1,4
0,0,0,893,0.653,0.182,0.269,0.677,225,3,5
0,1,0,1450,0.509,0.145,0.388,0.394,204,4,6
1,1,0,1271,0.261,0.131,0.525,0.198,253,2,7
1,0,0,851,0.257,0.375,0.243,0.143,200,5,8
1,0,0,914,0.693,0.138,0.326,0.258,219,1,9
0,0,1,771,0.669,0.194,0.761,0.574,247,3,10
1,0,0,1329,0.526,0.36,0.156,0.157,206,4,11
0,1,0,1088,0.216,0.357,0.388,0.16,216,3,1
1,1,0,549,0.429,0.332,0.886,0.266,176,2,2
0,1,0,588,0.375,0.137,0.483,0.313,202,5,3
1,1,0,950,0.888,0.32,0.2,0.261,211,1,5
0,0,0,730,0.398,0.593,0.894,0.371,225,2,6
1,0,1,1127,0.873,0.438,0.206,0.192,257,3,7
0,0,0,1142,0.494,0.227,0.339,0.387,185,5,8
1,0,0,675,0.555,0.63,0.489,0.441,224,4,9
1,0,0,1011,0.401,0.453,0.128,0.264,198,4,1
0,0,0,1086,0.439,0.297,0.467,0.477,247,3,2
