is_hit,is_visualization,is_dash,start_distance,start_delay,pre_delay,mid_delay,post_delay,attack_size,attack_pattern,attack_count
0,1,0,573,0.998,0.129,0.256,0.397,187,2,9
1,1,0,1453,0.215,0.14,0.33,0.292,201,5,5
0,1,0,1108,0.449,0.281,0.396,0.299,215,1,10
0,0,0,1393,0.863,0.221,0.132,0.522,204,4,6
0,1,0,1185,0.497,0.295,0.346,0.447,240,3,11
0,0,1,1086,0.432,0.387,0.606,0.127,228,2,7
1,1,1,510,0.857,0.1,0.11,0.26,176,1,8
0,1,0,842,0.285,0.502,0.775,0.397,261,3,9
0,1,0,1436,0.983,0.129,0.161,0.368,213,5,10
1,1,1,850,0.582,0.247,0.843,0.134,187,4,11
0,1,0,1150,0.314,0.114,0.122,0.217,187,4,1
1,0,0,1164,0.734,0.328,0.874,0.454,217,2,2
1,0,0,1499,0.634,0.551,0.8,0.269,213,4,1
1,1,0,605,0.841,0.314,0.202,0.167,215,1,2
1,0,1,746,0.405,0.314,0.484,0.325,222,3,3
1,0,0,1050,0.974,0.116,0.159,0.141,209,5,4
1,1,1,1287,0.616,0.4,0.21,0.645,217,2,5
1,0,0,1075,0.805,0.535,0.8,0.28,207,4,6
0,1,0,1214,0.965,0.149,0.482,0.543,224,3,1
0,0,0,687,0.795,0.685,0.283,0.631,183,4,2
0,1,0,753,0.629,0.394,0.178,0.387,178,5,3
1,0,0,1362,0.258,0.435,0.686,0.582,200,2,4
0,0,0,1128,0.834,0.309,0.374,0.218,199,1,5
0,0,0,967,0.703,0.536,0.787,0.162,182,4,1
0,1,0,519,0.68,0.579,0.405,0.11,233,3,6
0,1,1,1010,0.474,0.105,0.861,0.453,216,2,2
0,1,0,1359,0.439,0.692,0.736,0.159,213,4,7
1,1,0,779,0.572,0.451,0.762,0.195,224,3,11
1,1,0,581,0.438,0.692,0.121,0.651,222,2,1
0,1,0,665,0.421,0.263,0.457,0.217,210,5,2
1,0,1,866,0.459,0.277,0.122,0.6,201,3,3
0,0,0,1079,0.324,0.43,0.366,0.592,208,4,4
0,0,1,821,0.837,0.368,0.469,0.314,219,1,5
1,1,1,1359,0.435,0.404,0.126,0.233,187,2,6
0,1,0,537,0.991,0.319,0.102,0.304,198,5,7
0,1,0,1208,0.436,0.383,0.804,0.645,185,3,8
0,1,1,1058,0.764,0.551,0.714,0.687,191,4,9
0,1,0,559,0.698,0.391,0.312,0.383,217,1,10
1,0,1,733,0.346,0.353,0.509,0.423,206,2,11
1,0,0,1043,0.293,0.241,0.129,0.186,190,5,12
0,1,0,1171,0.748,0.541,0.527,0.114,180,3,13
1,1,1,896,0.885,0.34,0.143,0.62,184,4,14
1,0,0,1242,0.556,0.231,0.116,0.3,197,1,2
0,1,1,1487,0.962,0.137,0.658,0.609,249,2,6
0,0,0,751,0.667,0.298,0.255,0.287,221,5,3
1,1,1,712,0.907,0.361,0.204,0.193,199,5,7
1,0,0,1274,0.38,0.203,0.337,0.108,183,4,4
0,0,0,632,0.607,0.241,0.243,0.586,205,2,5
0,1,1,1394,0.923,0.396,0.102,0.573,202,3,8
0,1,0,1321,0.898,0.163,0.628,0.452,245,3,6
0,1,0,1249,0.67,0.294,0.41,0.489,219,4,9
0,0,0,603,0.812,0.105,0.486,0.311,219,1,7
1,1,1,821,0.944,0.302,0.156,0.107,203,1,10
0,0,0,1113,0.207,0.225,0.467,0.342,216,5,8
1,1,1,820,0.898,0.198,0.437,0.656,182,2,11
0,1,0,658,0.93,0.556,0.243,0.508,207,4,9
1,0,0,1266,0.917,0.611,0.302,0.666,254,2,10
0,0,0,1170,0.761,0.384,0.127,0.183,187,5,7
1,0,0,950,0.682,0.218,0.812,0.233,212,3,10
0,1,0,575,0.503,0.536,0.555,0.27,208,3,8
0,0,0,1096,0.654,0.478,0.834,0.483,189,4,9
0,0,0,1472,0.286,0.141,0.253,0.109,181,1,10
1,0,1,1036,0.566,0.545,0.48,0.208,262,2,11
0,0,0,835,0.697,0.329,0.394,0.347,198,5,12
1,1,0,1362,0.566,0.172,0.28,0.425,216,3,13
1,0,1,1425,0.761,0.459,0.375,0.428,208,4,14
0,1,0,606,0.593,0.291,0.185,0.221,255,2,1
1,1,1,1407,0.506,0.158,0.142,0.351,189,5,2
1,0,0,1396,0.906,0.255,0.848,0.26,200,3,3
0,0,0,665,0.923,0.389,0.619,0.363,190,4,4
1,0,0,1194,0.971,0.32,0.214,0.143,197,1,5
0,0,0,1344,0.503,0.303,0.592,0.7,179,3,1
1,0,0,1277,0.603,0.514,0.607,0.54,206,2,1
1,0,0,1260,0.944,0.129,0.349,0.221,180,5,2
0,0,0,560,0.206,0.496,0.438,0.207,189,4,3
1,1,0,1410,0.544,0.271,0.293,0.3,267,2,1
0,0,0,749,0.307,0.302,0.396,0.399,218,1,4
0,1,0,944,0.733,0.273,0.26,0.387,183,5,2
1,1,0,1250,0.29,0.25,0.308,0.156,204,3,5
0,1,1,1297,0.368,0.687,0.515,0.266,249,3,3
1,0,0,934,0.339,0.518,0.867,0.389,219,2,6
0,1,0,950,0.257,0.283,0.197,0.668,222,4,4
1,0,0,776,0.311,0.315,0.482,0.1,196,5,7
0,1,1,915,0.517,0.189,0.343,0.171,211,1,5
0,0,1,1285,0.524,0.1,0.802,0.418,222,4,8
0,0,0,1053,0.375,0.122,0.835,0.497,192,2,6
0,1,0,1406,0.853,0.334,0.447,0.3,214,1,9
1,1,0,1207,0.627,0.696,0.588,0.664,224,4,6
0,1,0,1334,0.588,0.574,0.693,0.452,270,2,7
1,0,0,1207,0.691,0.582,0.254,0.488,202,3,8
0,1,0,1331,0.407,0.647,0.225,0.616,212,4,1
1,0,1,1373,0.786,0.207,0.371,0.29,205,5,9
0,0,0,506,0.561,0.552,0.707,0.136,208,2,2
0,1,0,1029,0.62,0.149,0.39,0.348,177,5,3
0,0,0,695,0.874,0.112,0.583,0.331,239,3,4
1,1,0,643,0.299,0.105,0.199,0.374,175,1,5
1,1,1,1458,0.799,0.358,0.371,0.547,185,4,6
1,0,0,1030,0.708,0.228,0.626,0.411,202,2,7
1,1,0,1340,0.452,0.203,0.171,0.28,194,5,8
0,1,1,716,0.22,0.637,0.434,0.594,273,3,9
1,1,0,1114,0.307,0.141,0.143,0.363,195,1,10
1,0,1,592,0.985,0.503,0.838,0.523,176,4,11
1,0,1,981,0.654,0.408,0.839,0.262,181,4,19
1,0,0,1054,0.702,0.238,0.225,0.105,219,1,12
1,0,0,925,0.349,0.126,0.194,0.197,203,1,1
0,1,1,814,0.96,0.233,0.687,0.331,268,2,2
1,0,0,1353,0.359,0.699,0.448,0.305,184,3,3
0,0,1,642,0.961,0.458,0.237,0.637,207,4,4
1,1,1,1174,0.927,0.374,0.475,0.122,224,5,5
1,0,1,929,0.7,0.31,0.2,0.14,202,1,6
1,1,0,798,0.949,0.619,0.593,0.365,202,4,1
1,1,0,1223,0.331,0.356,0.782,0.451,238,2,7
0,0,1,1462,0.231,0.663,0.251,0.27,253,2,2
1,0,0,1475,0.413,0.179,0.149,0.322,186,3,3
1,1,1,931,0.772,0.622,0.761,0.359,184,3,8
0,0,0,1409,0.793,0.245,0.238,0.293,180,5,4
1,1,0,1070,0.915,0.265,0.342,0.287,224,1,5
1,0,1,799,0.28,0.126,0.55,0.341,180,2,12
1,0,1,1498,0.262,0.106,0.455,0.675,178,3,4
1,0,0,1317,0.563,0.53,0.297,0.387,222,3,13
0,0,0,689,0.541,0.28,0.47,0.265,187,5,5
0,1,1,1461,0.734,0.571,0.541,0.461,182,4,14
0,0,0,1232,0.999,0.355,0.542,0.533,195,4,6
0,1,0,841,0.746,0.102,0.496,0.385,216,5,15
0,0,0,1206,0.844,0.112,0.436,0.344,210,1,7
0,1,1,874,0.784,0.304,0.458,0.306,200,1,16
0,0,1,1173,0.368,0.35,0.616,0.625,191,2,8
0,1,0,1264,0.907,0.455,0.182,0.441,177,2,17
0,0,1,1374,0.392,0.427,0.103,0.432,190,3,9
1,1,0,1075,0.327,0.162,0.124,0.278,204,5,10
1,0,0,1089,0.988,0.319,0.118,0.183,248,3,18
1,0,1,779,0.926,0.608,0.329,0.28,205,4,11
1,1,1,990,0.626,0.397,0.151,0.158,218,1,21
0,0,0,899,0.658,0.19,0.309,0.295,201,1,1
1,0,1,874,0.824,0.358,0.575,0.572,201,2,2
0,0,1,655,0.666,0.667,0.794,0.221,206,3,3
0,1,0,1352,0.828,0.613,0.155,0.589,208,4,4
0,1,0,899,0.817,0.252,0.395,0.224,194,5,5
0,0,1,638,0.225,0.327,0.271,0.117,186,1,6
0,1,1,1368,0.693,0.693,0.845,0.342,175,2,7
0,1,0,1123,0.221,0.176,0.49,0.46,253,3,8
0,0,1,1203,0.551,0.204,0.336,0.405,210,4,9
0,0,0,589,0.495,0.151,0.336,0.259,183,5,10
1,0,0,1340,0.648,0.265,0.307,0.655,219,4,1
0,1,1,949,0.527,0.266,0.47,0.278,186,1,2
1,1,1,533,0.369,0.255,0.382,0.228,215,1,11
1,1,1,1174,0.445,0.571,0.761,0.166,229,2,3
0,1,1,810,0.614,0.62,0.654,0.694,189,4,9
1,1,0,1366,0.609,0.498,0.73,0.325,189,4,7
0,1,0,645,0.451,0.175,0.386,0.352,201,5,10
0,1,1,644,0.924,0.135,0.379,0.263,202,5,8
0,1,1,954,0.477,0.34,0.303,0.3,204,1,11
1,0,0,1136,0.686,0.451,0.846,0.632,215,3,9
0,1,0,1495,0.892,0.359,0.737,0.357,195,2,12
1,1,0,582,0.313,0.272,0.235,0.29,189,3,13
0,0,0,1429,0.448,0.673,0.882,0.512,195,4,14
1,0,1,958,0.594,0.363,0.364,0.109,216,5,15
1,1,1,999,0.82,0.183,0.397,0.332,180,1,16
1,1,1,1423,0.565,0.316,0.29,0.668,226,2,17
0,0,1,803,0.685,0.671,0.269,0.539,253,3,18
0,1,1,1111,0.697,0.297,0.802,0.532,177,4,19
0,0,0,875,0.669,0.328,0.245,0.305,221,5,20
1,1,0,966,0.497,0.488,0.255,0.26,202,2,7
0,1,0,880,0.9,0.106,0.303,0.245,200,1,1
0,0,0,796,0.616,0.467,0.691,0.223,241,2,2
0,1,1,944,0.836,0.247,0.438,0.258,188,3,3
0,0,1,735,0.52,0.455,0.627,0.117,223,4,4
1,0,0,1227,0.438,0.195,0.192,0.676,230,2,1
0,0,1,828,0.761,0.288,0.307,0.336,202,5,5
1,1,0,587,0.907,0.382,0.747,0.693,194,4,2
1,1,0,890,0.91,0.251,0.148,0.282,190,1,6
1,1,1,1341,0.396,0.276,0.223,0.277,224,5,3
0,1,1,1017,0.746,0.608,0.136,0.263,226,2,7
0,0,0,1316,0.55,0.142,0.508,0.462,176,3,4
0,1,0,1432,0.443,0.121,0.262,0.231,193,1,5
0,1,0,852,0.751,0.528,0.329,0.51,260,3,8
1,0,0,747,0.412,0.401,0.755,0.55,198,2,6
0,0,1,591,0.333,0.165,0.735,0.383,202,3,3
0,1,1,1205,0.755,0.156,0.168,0.167,188,5,4
1,1,1,1136,0.213,0.108,0.173,0.135,224,1,5
1,1,1,1053,0.42,0.123,0.217,0.195,181,2,6
1,0,1,1356,0.921,0.194,0.85,0.279,206,4,7
1,1,1,1411,0.475,0.403,0.711,0.289,239,3,8
1,1,1,580,0.803,0.138,0.43,0.146,210,5,9
0,1,1,1444,0.598,0.183,0.44,0.258,204,1,10
1,0,0,1442,0.644,0.306,0.528,0.363,199,2,11
1,1,0,503,0.957,0.256,0.822,0.228,181,4,1
1,0,0,555,0.515,0.616,0.636,0.422,230,2,2
1,0,0,725,0.398,0.158,0.323,0.257,176,5,3
0,1,1,959,0.961,0.202,0.182,0.205,223,1,4
1,0,0,1285,0.224,0.389,0.512,0.594,239,3,5
1,0,1,1054,0.361,0.236,0.413,0.654,194,4,6
0,1,1,1005,0.917,0.288,0.388,0.408,178,2,6
1,1,0,1126,0.675,0.584,0.302,0.16,215,4,1
1,0,0,873,0.452,0.278,0.395,0.432,204,4,7
0,1,0,684,0.839,0.51,0.125,0.549,266,3,2
1,1,0,635,0.59,0.367,0.272,0.191,220,1,3
1,1,1,685,0.789,0.169,0.7,0.568,246,3,8
1,0,0,1324,0.256,0.265,0.445,0.124,186,5,9
0,0,0,1235,0.363,0.487,0.245,0.629,184,2,4
1,0,0,751,0.413,0.139,0.147,0.203,183,5,5
1,1,1,874,0.471,0.19,0.271,0.237,214,1,10
1,1,1,1387,0.636,0.412,0.231,0.39,194,4,6
1,1,0,1482,0.659,0.653,0.324,0.518,268,3,7
1,1,1,1344,0.856,0.172,0.329,0.312,184,1,8
0,0,0,1382,0.984,0.591,0.893,0.42,234,2,1
0,0,1,1177,0.99,0.405,0.884,0.479,224,4,2
0,0,1,593,0.978,0.327,0.166,0.196,272,2,11
0,0,0,960,0.547,0.438,0.377,0.474,183,4,12
1,0,1,605,0.874,0.379,0.299,0.558,254,2,8
1,0,0,1040,0.785,0.144,0.324,0.553,250,3,9
0,0,1,774,0.988,0.216,0.354,0.238,230,3,13
0,1,0,690,0.687,0.287,0.103,0.382,188,5,14
1,0,1,885,0.878,0.256,0.124,0.126,200,1,15
1,0,0,905,0.408,0.313,0.424,0.139,210,2,16
0,1,1,611,0.834,0.198,0.883,0.475,194,4,17
1,0,1,843,0.537,0.361,0.828,0.51,230,3,18
1,1,0,592,0.584,0.552,0.529,0.562,271,2,1
1,1,0,679,0.317,0.261,0.743,0.169,208,4,2
0,1,1,762,0.625,0.343,0.611,0.531,234,3,3
0,1,0,947,0.727,0.361,0.473,0.218,202,5,4
0,0,1,1012,0.313,0.245,0.371,0.29,204,1,5
0,0,0,1113,0.739,0.167,0.259,0.377,247,3,3
0,0,1,935,0.703,0.393,0.428,0.208,184,5,4
0,0,1,1112,0.929,0.313,0.292,0.328,178,1,5
1,1,0,759,0.454,0.229,0.416,0.279,184,5,1
0,0,1,1295,0.33,0.299,0.893,0.299,232,2,6
1,1,1,1093,0.751,0.492,0.255,0.229,223,4,2
0,0,0,892,0.243,0.664,0.43,0.512,214,4,7
0,1,0,1208,0.381,0.429,0.162,0.57,242,2,3
0,1,0,1337,0.745,0.291,0.543,0.686,241,3,4
0,0,0,615,0.805,0.68,0.822,0.385,246,3,8
0,1,1,1120,0.937,0.213,0.233,0.275,217,1,5
1,1,1,613,0.238,0.131,0.347,0.365,194,5,9
1,0,0,636,0.484,0.369,0.184,0.248,206,5,6
1,1,0,793,0.521,0.232,0.316,0.256,206,1,10
1,1,0,1330,0.798,0.182,0.772,0.67,188,4,7
0,0,0,1131,0.982,0.467,0.68,0.505,247,3,6
1,0,0,613,0.363,0.205,0.18,0.293,189,5,7
1,0,1,920,0.81,0.379,0.869,0.613,219,2,8
1,1,1,814,0.539,0.202,0.825,0.308,210,4,9
1,0,0,652,0.589,0.357,0.825,0.665,207,2,1
0,1,0,1360,0.986,0.227,0.509,0.561,198,4,2
0,1,1,681,0.727,0.428,0.621,0.244,225,3,3
1,0,0,566,0.482,0.249,0.34,0.209,197,5,4
1,0,1,757,0.876,0.119,0.171,0.12,203,1,5
1,1,0,569,0.405,0.406,0.134,0.16,233,2,6
1,0,0,1151,0.658,0.554,0.152,0.242,177,4,7
0,0,1,1167,0.526,0.139,0.391,0.337,273,3,8
1,0,0,583,0.371,0.395,0.456,0.204,193,5,9
1,1,0,1453,0.341,0.186,0.24,0.386,188,2,1
0,0,1,1456,0.885,0.43,0.527,0.347,199,4,2
1,1,0,789,0.863,0.16,0.29,0.198,179,5,5
0,0,0,1248,0.729,0.107,0.326,0.309,216,1,6
0,1,0,773,0.731,0.49,0.39,0.162,258,3,7
0,0,0,844,0.754,0.333,0.265,0.54,190,4,8
1,0,0,950,0.59,0.186,0.137,0.138,189,1,1
1,1,0,1146,0.956,0.349,0.728,0.692,241,3,2
1,1,0,1385,0.704,0.271,0.178,0.63,219,4,3
1,0,0,1285,0.244,0.642,0.886,0.393,222,2,4
1,0,0,656,0.25,0.359,0.443,0.283,207,5,5
1,1,0,1457,0.926,0.247,0.446,0.209,188,1,6
0,0,0,743,0.295,0.457,0.58,0.572,234,3,1
1,1,1,951,0.554,0.308,0.251,0.238,211,5,2
0,0,0,1124,0.876,0.484,0.1,0.419,177,2,3
1,1,0,878,0.88,0.555,0.455,0.24,212,4,4
1,0,1,1064,0.694,0.156,0.462,0.232,187,1,5
1,1,1,1027,0.287,0.59,0.581,0.28,217,4,19
1,1,1,821,0.464,0.163,0.462,0.173,215,1,20
0,0,0,817,0.931,0.235,0.708,0.245,210,2,1
1,0,1,1052,0.377,0.309,0.253,0.4,185,1,2
1,0,1,1216,0.727,0.139,0.131,0.168,205,5,3
0,0,0,997,0.538,0.461,0.273,0.167,180,4,4
1,0,0,1170,0.821,0.586,0.437,0.322,212,3,5
0,1,0,912,0.867,0.606,0.395,0.394,226,2,6
0,1,1,1029,0.55,0.144,0.158,0.228,193,1,7
1,1,0,685,0.659,0.361,0.31,0.247,203,5,8
0,1,0,581,0.829,0.249,0.164,0.569,197,4,9
0,0,0,1031,0.26,0.107,0.445,0.205,206,1,1
1,0,0,1120,0.386,0.546,0.307,0.583,212,3,2
0,0,0,836,0.259,0.63,0.226,0.496,188,4,3
1,0,0,580,0.232,0.545,0.546,0.13,202,2,4
0,1,1,878,0.242,0.424,0.795,0.415,190,4,4
0,0,1,1434,0.482,0.191,0.225,0.308,179,1,5
0,1,0,701,0.803,0.48,0.702,0.353,184,2,6
0,1,1,1002,0.919,0.288,0.278,0.351,185,5,7
0,0,1,1108,0.746,0.101,0.765,0.62,205,3,8
1,0,1,888,0.683,0.552,0.389,0.658,218,4,9
1,0,1,1339,0.33,0.352,0.463,0.273,214,1,10
1,1,1,1435,0.626,0.409,0.362,0.291,267,2,11
0,1,1,600,0.572,0.129,0.251,0.299,184,5,12
0,0,1,1339,0.395,0.325,0.769,0.334,268,3,13
1,1,1,1365,0.325,0.345,0.403,0.203,214,4,14
0,1,0,1155,0.252,0.249,0.267,0.179,191,1,15
0,1,1,1009,0.88,0.469,0.31,0.547,243,2,16
0,0,1,1411,0.575,0.35,0.111,0.31,213,5,17
0,1,1,856,0.969,0.659,0.405,0.249,208,3,18
1,0,1,641,0.437,0.279,0.296,0.129,192,3,4
1,1,0,778,0.709,0.419,0.651,0.398,205,4,5
1,1,0,630,0.292,0.281,0.272,0.264,180,1,6
1,0,1,1089,0.762,0.548,0.848,0.336,213,2,7
1,0,0,1012,0.758,0.377,0.339,0.323,223,1,1
1,0,1,674,0.624,0.274,0.652,0.107,180,2,2
1,1,0,554,0.967,0.165,0.42,0.225,221,5,3
1,0,1,984,0.776,0.384,0.242,0.421,236,3,4
1,0,0,1337,0.506,0.615,0.824,0.374,181,4,5
0,0,1,1496,0.304,0.127,0.396,0.124,216,1,6
0,0,0,961,0.827,0.223,0.749,0.523,235,2,7
1,0,0,844,0.341,0.362,0.146,0.127,175,5,8
0,0,0,1193,0.324,0.166,0.847,0.343,246,2,1
0,0,1,694,0.717,0.321,0.237,0.188,185,5,2
0,1,1,743,0.577,0.35,0.609,0.492,185,3,3
1,0,1,908,0.576,0.467,0.349,0.345,266,3,2
0,1,1,749,0.818,0.248,0.212,0.201,194,5,3
0,1,0,1015,0.309,0.492,0.252,0.651,243,2,4
0,1,0,1023,0.995,0.21,0.46,0.128,221,1,5
1,0,1,586,0.809,0.629,0.804,0.176,210,4,6
0,0,1,745,0.853,0.594,0.635,0.31,182,3,7
1,0,1,975,0.727,0.394,0.436,0.196,189,5,8
0,1,0,594,0.842,0.473,0.759,0.495,194,2,9
1,0,1,1031,0.762,0.239,0.346,0.389,204,1,10
1,1,1,1096,0.345,0.522,0.839,0.355,215,4,11
0,0,0,578,0.383,0.454,0.212,0.637,224,3,12
1,0,1,836,0.4,0.175,0.154,0.359,176,5,13
1,1,0,878,0.748,0.2,0.377,0.394,201,1,1
0,0,0,732,0.256,0.317,0.419,0.651,180,2,2
1,1,0,596,0.691,0.116,0.397,0.332,191,5,3
0,1,0,1269,0.69,0.341,0.423,0.424,263,2,9
0,0,0,636,0.371,0.251,0.165,0.383,193,1,10
1,0,0,963,0.94,0.51,0.821,0.161,187,4,11
0,1,0,610,0.542,0.222,0.747,0.386,194,4,1
0,1,0,1267,0.623,0.258,0.558,0.188,220,3,2
1,0,0,1498,0.978,0.214,0.125,0.11,201,5,3
1,0,1,761,0.594,0.137,0.174,0.114,227,2,4
0,0,0,581,0.363,0.277,0.309,0.138,210,1,5
0,1,1,857,0.563,0.295,0.38,0.539,209,4,6
1,0,0,1000,0.944,0.661,0.42,0.359,206,3,7
1,1,0,688,0.431,0.224,0.233,0.101,183,5,8
0,1,1,1103,0.499,0.461,0.465,0.6,179,2,9
0,1,1,1082,0.721,0.212,0.482,0.246,212,1,10
0,0,0,581,0.204,0.665,0.814,0.109,183,4,11
0,1,0,1358,0.928,0.108,0.549,0.541,191,4,1
0,0,0,655,0.347,0.495,0.82,0.591,264,3,7
1,0,1,1227,0.419,0.313,0.141,0.176,197,5,8
0,0,0,666,0.933,0.552,0.682,0.125,195,2,9
0,0,0,1072,0.779,0.14,0.477,0.351,182,1,10
0,0,1,1376,0.254,0.615,0.364,0.538,219,4,11
1,0,0,1460,0.817,0.332,0.796,0.631,240,3,12
1,1,1,916,0.564,0.354,0.435,0.112,213,5,13
0,1,0,794,0.544,0.42,0.596,0.631,206,4,1
0,1,1,1207,0.821,0.524,0.892,0.484,204,3,2
0,1,1,1278,0.433,0.235,0.419,0.386,191,5,3
1,0,0,1359,0.652,0.679,0.292,0.391,186,2,4
0,1,0,1260,0.887,0.388,0.156,0.225,192,1,5
0,0,1,1131,0.42,0.376,0.213,0.167,212,4,6
0,0,0,970,0.563,0.305,0.293,0.546,183,3,7
1,0,1,597,0.363,0.208,0.395,0.159,212,5,8
1,1,1,1032,0.557,0.22,0.798,0.661,220,3,2
0,1,1,1217,0.313,0.348,0.884,0.339,266,2,3
1,0,0,561,0.594,0.611,0.127,0.187,208,4,4
0,0,1,1494,0.482,0.382,0.124,0.315,190,1,5
1,1,1,950,0.576,0.298,0.462,0.387,179,5,6
1,1,0,1403,0.57,0.198,0.174,0.273,206,3,7
1,0,1,1273,0.509,0.386,0.216,0.558,217,2,8
0,0,1,1205,0.213,0.56,0.487,0.296,220,4,9
1,1,1,1102,0.249,0.123,0.385,0.192,218,1,10
0,0,0,511,0.685,0.402,0.137,0.287,205,4,1
0,0,1,864,0.966,0.36,0.191,0.236,185,3,2
0,1,0,939,0.264,0.132,0.356,0.362,202,5,3
0,0,0,924,0.91,0.549,0.429,0.561,251,2,4
0,1,0,525,0.749,0.325,0.432,0.38,183,1,5
0,1,1,1416,0.453,0.445,0.645,0.112,207,4,6
1,1,0,848,0.535,0.232,0.139,0.228,201,1,5
0,0,1,1040,0.577,0.263,0.464,0.138,208,5,6
0,0,0,504,0.256,0.427,0.437,0.268,180,3,7
1,0,0,706,0.459,0.197,0.417,0.102,256,2,8
1,1,1,1269,0.512,0.452,0.149,0.238,219,4,9
1,1,0,506,0.633,0.337,0.18,0.217,200,1,10
1,1,0,1157,0.81,0.389,0.225,0.297,210,5,1
1,1,0,1245,0.902,0.287,0.134,0.454,268,3,2
0,0,0,1143,0.243,0.162,0.737,0.517,223,2,3
1,0,0,1323,0.539,0.224,0.101,0.455,218,4,4
1,0,0,681,0.52,0.277,0.176,0.381,202,1,5
0,0,1,1202,0.831,0.108,0.427,0.133,182,5,6
1,0,1,738,0.246,0.482,0.798,0.157,274,3,7
1,1,1,1098,0.737,0.536,0.826,0.644,202,2,8
0,0,0,863,0.703,0.109,0.118,0.163,199,5,1
0,0,0,1083,0.72,0.186,0.487,0.242,191,4,8
1,1,1,602,0.711,0.255,0.478,0.13,263,2,8
0,0,0,1207,0.546,0.339,0.128,0.346,192,1,9
0,0,0,500,0.523,0.247,0.854,0.292,217,4,9
1,0,0,1488,0.883,0.248,0.123,0.55,267,2,10
0,0,1,1121,0.822,0.116,0.103,0.373,194,1,10
0,1,0,966,0.997,0.299,0.105,0.286,203,5,11
0,0,0,1194,0.955,0.312,0.324,0.305,185,5,11
0,1,0,1199,0.846,0.375,0.592,0.631,270,3,12
1,0,1,753,0.673,0.286,0.391,0.152,194,3,12
1,1,1,701,0.249,0.118,0.544,0.521,188,4,13
1,0,0,1176,0.634,0.304,0.492,0.387,208,5,1
0,0,0,621,0.788,0.31,0.455,0.485,274,3,2
0,1,1,684,0.686,0.672,0.174,0.567,193,2,3
1,0,0,689,0.917,0.569,0.406,0.533,198,4,4
1,1,0,583,0.699,0.441,0.349,0.519,245,3,7
1,1,0,1280,0.206,0.152,0.379,0.18,222,5,1
0,1,0,517,0.773,0.142,0.25,0.353,176,5,1
0,1,1,614,0.639,0.348,0.248,0.348,259,3,2
1,1,0,822,0.392,0.298,0.421,0.279,259,3,2
0,0,0,1206,0.902,0.462,0.802,0.224,219,4,3
1,0,0,657,0.423,0.202,0.46,0.25,246,2,3
0,0,1,1000,0.291,0.203,0.291,0.312,196,1,4
0,1,1,1289,0.752,0.643,0.835,0.326,197,4,4
0,0,0,512,0.853,0.606,0.356,0.165,204,2,5
0,1,0,1195,0.685,0.288,0.209,0.182,204,1,5
1,0,0,576,0.482,0.239,0.322,0.329,202,5,6
0,1,0,1482,0.363,0.199,0.2,0.363,197,5,6
0,0,1,1440,0.649,0.248,0.261,0.12,199,3,7
1,0,1,1115,0.628,0.684,0.465,0.243,228,3,7
1,1,1,1346,0.776,0.151,0.134,0.141,219,1,4
1,0,1,730,0.958,0.428,0.19,0.145,230,2,6
1,1,0,1262,0.598,0.198,0.287,0.198,194,2,5
0,1,1,1009,0.227,0.202,0.357,0.2,181,4,7
1,0,1,1215,0.996,0.221,0.467,0.186,203,5,6
1,1,1,1151,0.608,0.187,0.416,0.369,207,1,8
1,0,1,1200,0.468,0.169,0.655,0.157,238,3,7
1,0,1,1084,0.452,0.299,0.6,0.448,235,3,9
1,1,0,831,0.307,0.124,0.203,0.315,214,4,8
1,1,0,1288,0.28,0.17,0.461,0.391,194,5,1
1,0,0,1189,0.631,0.289,0.128,0.578,207,3,2
1,1,0,617,0.423,0.638,0.528,0.205,219,4,3
1,1,0,1355,0.691,0.157,0.377,0.394,185,1,4
0,1,1,1288,0.799,0.436,0.431,0.667,256,2,5
1,0,1,1392,0.398,0.278,0.456,0.135,197,5,6
1,1,1,955,0.229,0.373,0.372,0.106,176,1,8
0,1,1,1041,0.451,0.127,0.718,0.192,217,3,9
0,1,0,1347,0.937,0.214,0.425,0.275,207,5,10
0,0,0,1274,0.981,0.169,0.447,0.272,265,2,11
0,0,0,1316,0.901,0.451,0.646,0.652,183,4,12
1,1,1,871,0.516,0.308,0.188,0.194,221,1,13
1,0,0,660,0.21,0.656,0.892,0.553,205,3,14
0,1,0,909,0.84,0.21,0.379,0.157,206,2,1
1,1,1,869,0.455,0.686,0.853,0.662,211,4,2
0,0,0,1276,0.975,0.262,0.275,0.383,180,1,3
0,0,0,732,0.275,0.29,0.102,0.165,187,5,1
1,1,1,1212,0.538,0.656,0.184,0.22,272,3,2
1,0,1,774,0.73,0.331,0.372,0.128,244,3,4
1,1,1,1073,0.789,0.212,0.235,0.125,175,5,5
0,0,1,1401,0.39,0.562,0.81,0.695,224,4,3
0,1,1,802,0.599,0.529,0.671,0.662,269,3,4
1,0,0,562,0.259,0.398,0.35,0.211,186,5,5
0,0,1,1057,0.406,0.606,0.713,0.163,207,2,6
0,1,0,1141,0.921,0.348,0.57,0.474,183,4,7
0,0,1,953,0.202,0.122,0.361,0.319,222,1,8
1,1,0,986,0.398,0.186,0.209,0.173,249,3,9
0,1,1,974,0.806,0.147,0.241,0.371,189,5,10
1,0,0,673,0.645,0.252,0.749,0.293,267,2,11
0,1,0,818,0.831,0.134,0.819,0.319,182,2,1
0,1,0,949,0.643,0.241,0.457,0.631,181,4,2
